tokens_seen,vocab_size
50000,9490
100000,14966
150000,19079
200000,22983
250000,26397
300000,29045
350000,31629
400000,34021
450000,35861
500000,37708
550000,39789
600000,41655
650000,43650
700000,45357
750000,47007
800000,48514
850000,50032
900000,51517
950000,52982
1000000,54360
1050000,55914
1100000,57375
1150000,58700
1200000,60174
1250000,61255
1300000,62421
1350000,63721
1400000,64966
1450000,66774
1500000,67851
1550000,69045
1600000,70196
1650000,71239
1700000,72573
1750000,73742
1800000,74680
1850000,75710
1900000,76819
1950000,77638
2000000,78650
2050000,79736
2100000,80782
2150000,81767
2200000,82585
2250000,83503
2300000,84407
2350000,85166
2400000,85949
2450000,87010
2500000,87910
2550000,88745
2600000,89655
2650000,90657
2700000,91696
2750000,92329
2800000,93177
2850000,93952
2900000,94838
2950000,95634
3000000,96513
3050000,97472
3100000,98453
3150000,99390
3200000,100275
3250000,101020
3300000,101557
3350000,102275
3400000,103243
3450000,104146
3500000,104952
3550000,105888
3600000,106888
3650000,107783
3700000,108624
3750000,109482
3800000,110259
3850000,111090
3900000,111852
3950000,112623
4000000,113499
4050000,114338
4100000,115097
4150000,115841
4200000,116712
4250000,117578
4300000,118386
4350000,119060
4400000,119737
4450000,120623
4500000,121489
4550000,122252
4600000,123183
4650000,123965
4700000,124680
4750000,125473
4800000,126289
4850000,127140
4900000,128173
4950000,128974
5000000,129806
5050000,130646
5100000,131384
5150000,132116
5200000,132898
5250000,133644
5300000,134480
5350000,135325
5400000,136033
5450000,136720
5500000,137413
5550000,138107
5600000,138801
5650000,139474
5700000,140220
5750000,141004
5800000,141751
5850000,142445
5900000,143330
5950000,144067
6000000,144826
6050000,145545
6100000,146270
6150000,147123
6200000,147894
6250000,148688
6300000,149668
6350000,150842
6400000,151616
6450000,152345
6500000,153091
6550000,153811
6600000,154617
6650000,155052
6700000,155428
6750000,155757
6800000,156119
6850000,156836
6900000,157189
6950000,157549
7000000,158230
7050000,158515
7100000,159075
7150000,159304
7200000,159624
7250000,160019
7300000,160449
7350000,160976
7400000,161674
7450000,162318
7500000,163308
7550000,164307
7600000,165008
7650000,165811
7700000,166572
7750000,167117
7800000,167610
7850000,168294
7900000,169040
7950000,169676
8000000,170295
8050000,170797
8100000,171267
8150000,171610
8200000,172015
8250000,172447
8300000,172976
8350000,173462
8400000,173906
8450000,174324
8500000,174790
8550000,175222
8600000,175649
8650000,176126
8700000,176580
8750000,177279
8800000,177783
8850000,178273
8900000,178799
8950000,179260
9000000,179724
9050000,180219
9100000,180764
9150000,181231
9200000,181758
9250000,182360
9300000,182915
9350000,183430
9400000,183954
9450000,184442
9500000,184917
9550000,185434
9600000,185924
9650000,186472
9700000,186863
9750000,187119
9800000,187686
9850000,188163
9900000,188536
9950000,188734
10000000,188936
10050000,189126
10100000,189260
10150000,189401
10200000,190340
10250000,190453
10300000,190577
10350000,190684
10400000,190787
10450000,191099
10500000,191226
10550000,191299
10600000,191422
10650000,191710
10700000,191779
10750000,191924
10800000,192016
10850000,192334
10900000,192761
10950000,193239
11000000,193678
11050000,194150
11100000,194633
11150000,195140
11200000,195532
11250000,195760
11300000,196103
11350000,196328
11400000,196566
11450000,196832
11500000,197297
11550000,197614
11600000,197957
11650000,198387
11700000,198773
11750000,199221
11800000,199667
11850000,200158
11900000,200716
11950000,201157
12000000,201717
12050000,202156
12100000,202658
12150000,203124
12200000,203603
12250000,203996
12300000,204380
12350000,204758
12400000,205063
12450000,205438
12500000,205897
12550000,206291
12600000,206752
12650000,207246
12700000,207615
12750000,207997
12800000,208307
12850000,208725
12900000,209084
12950000,209354
13000000,209771
13050000,210241
13100000,210928
13150000,211564
13200000,211967
13250000,212376
13300000,212818
13350000,213270
13400000,213743
13450000,214238
13500000,214622
13550000,214820
13600000,215026
13650000,215555
13700000,216058
13750000,216533
13800000,217006
13850000,217333
13900000,217545
13950000,217760
14000000,217987
14050000,218210
14100000,218474
14150000,219009
14200000,219708
14250000,220351
14300000,220904
14350000,221628
14400000,222349
14450000,222996
14500000,223644
14550000,224253
14600000,224810
14650000,225443
14700000,226010
14750000,226634
14800000,227272
14850000,227506
14900000,227924
14950000,228355
15000000,228932
15050000,229566
15100000,230183
15150000,230769
15200000,231481
15250000,232166
15300000,232779
15350000,233354
15400000,233970
15450000,234695
15500000,235279
15550000,235888
15600000,236407
15650000,236917
15700000,237575
15750000,238083
15800000,238692
15850000,239295
15900000,239856
15950000,240416
16000000,241059
16050000,241603
16100000,242135
16150000,242726
16200000,243268
16250000,243761
16300000,244361
16350000,244925
16400000,245567
16450000,246108
16500000,246734
16550000,247486
16600000,248310
16650000,248857
16700000,249435
16750000,250728
16800000,252098
16850000,252679
16900000,253224
16950000,253792
17000000,254346
17050000,254806
17100000,255394
17150000,255970
17200000,256551
17250000,257088
17300000,257660
17350000,258157
17400000,258655
17450000,259190
17500000,259894
17550000,260379
17600000,261012
17650000,261580
17700000,262127
17750000,262681
17800000,263166
17850000,263633
17900000,264219
17950000,264688
18000000,265139
18050000,265712
18100000,266248
18150000,266795
18200000,267345
18250000,268078
18300000,268557
18350000,269069
18400000,269505
18450000,270028
18500000,270578
18550000,271023
18600000,271541
18650000,272059
18700000,272493
18750000,272951
18800000,273493
18850000,273949
18900000,274375
18950000,274942
19000000,275430
19050000,275953
19100000,276439
19150000,277093
19200000,277594
19250000,278205
19300000,278723
19350000,279173
19400000,279654
19450000,280124
19500000,280665
19550000,281163
19600000,281673
19650000,282083
19700000,282649
19750000,283168
19800000,283628
19850000,284161
19900000,284693
19950000,285247
19963076,285376
