token_1,token_2,frequency,pmi,both_stopwords
the,population,66719,3.3843,False
united,states,37437,8.776,False
the,town,35807,3.3077,False
the,united,35082,3.4532,False
the,city,33539,3.0747,False
population,was,33493,4.7242,False
according,to,32694,5.8653,False
the,2010,31349,3.309,False
2010,census,28839,7.311,False
area,of,28290,3.4351,False
a,total,26404,5.5613,False
total,area,25302,8.2083,False
part,of,24779,4.344,False
states,census,24670,7.0579,False
census,bureau,24198,7.7811,False
is,located,24061,5.8547,False
bureau,the,22363,3.5449,False
square,mile,21891,9.2054,False
per,square,21561,9.0869,False
population,density,21185,6.9827,False
households,and,20612,4.034,False
density,was,20432,5.022,False
residing,in,20282,5.275,False
families,residing,19997,9.2868,False
an,average,19613,7.4309,False
housing,units,19597,9.8318,False
density,of,19399,3.4343,False
the,racial,19264,3.6614,False
units,at,19242,7.1038,False
racial,makeup,19168,9.9902,False
makeup,of,19076,4.4926,False
average,density,19071,8.4229,False
one,of,18487,3.4795,False
age,of,17065,3.8807,False
the,age,17008,3.0546,False
american,0,16516,6.8437,False
two,or,14939,6.1879,False
of,18,14673,4.0207,False
from,two,14655,5.8287,False
more,races,14419,8.4388,False
had,children,14190,7.8429,False
children,under,14133,9.143,False
householder,with,14003,7.2512,False
hispanic,or,13910,7.6119,False
or,latino,13842,7.6613,False
native,american,13771,8.7128,False
known,as,13713,5.8288,False
of,2000,13576,3.5148,False
the,village,13553,3.2838,False
latino,of,13500,4.4658,False
