token,frequency,rank,is_stopword
the,1557812,1,True
of,881627,2,True
and,567768,3,True
in,515312,4,True
a,389090,5,True
to,343354,6,True
was,308940,7,True
is,267701,8,True
as,191301,9,True
were,142334,10,True
at,132591,11,True
by,130704,12,True
with,129675,13,True
it,124452,14,True
from,124174,15,True
for,119746,16,True
on,109200,17,True
s,108364,18,True
or,98679,19,True
census,89441,20,False
which,87665,21,True
an,83536,22,True
he,83025,23,True
population,82294,24,False
his,78832,25,True
that,77614,26,True
0,77445,27,False
1,74481,28,False
there,74064,29,True
are,69788,30,True
