query_id,source,query_length_words,relevant_passages,pool_size
ce40d2c4-f403-4736-ace1-7fca9c722aba,popqa,5,1,5
647d126c-564b-46c6-a8a7-6eda23449e10,popqa,5,1,5
e8acd86c-e651-47fa-8440-2eb759a5f5ea,popqa,5,2,5
4d5a3c5c-4b7c-4633-a9f9-a39d9e885344,popqa,9,1,5
5bede7e0-5a07-480a-ba01-b2e7adffd4e2,popqa,5,1,5
b36e15b4-74a1-433c-8a0b-ad79e29ab837,popqa,5,1,5
6c512c5b-f2d6-471f-8984-5672f49f6fb7,popqa,5,1,5
da59acd0-881b-42c0-b403-4b39e44a591c,popqa,5,1,5
8e7e3452-5510-40d9-ac52-738cb7384ec4,popqa,5,1,5
68c18f33-3e20-4749-88f1-bb474eb30da0,popqa,5,3,5
e9a21d20-3a8c-47ee-bae8-2682720ec526,popqa,4,1,5
80a1cedb-aec4-468d-81ec-9d3ef02a8145,popqa,6,1,5
d423a7eb-9ba3-4492-aec2-d47c6a5161f2,popqa,5,1,5
f80d260e-da2b-4eeb-b123-4646f089d609,popqa,4,1,5
39576651-e3e0-4925-b6e4-1ca30630ee22,popqa,5,1,5
c005f888-4c96-44f4-875b-a769cbd6e20c,popqa,6,1,5
83eab852-6fa6-4276-af14-18d778ec1190,popqa,5,1,5
57972309-2b29-48eb-a6c3-cbdaeda41a84,popqa,5,2,5
68d9ab39-5f61-4047-83c6-7e07bba03a83,popqa,5,1,5
47335a90-c4ce-4bec-9871-a2ed211283cc,popqa,5,2,5
893ae90f-e924-45eb-a57d-e03bdf1fd1c1,popqa,5,3,5
0f89c580-f57e-48c8-a9ed-e6f5f8a944dd,popqa,6,2,5
719d5d4b-7781-4db5-8390-f585a00eab5b,popqa,6,1,5
b9f177c7-ef88-4fa5-83e5-0f8bf4d31fd1,popqa,5,1,5
229ce405-344e-4c96-a78d-1696fbab71c7,popqa,5,1,5
b94bc44b-a209-4657-ba3e-7c86c2c3e1a6,popqa,5,1,5
eef5462e-ecc7-4ef4-babf-7831fc73c909,popqa,5,2,5
5a8d2b67-0d7f-4f54-9108-c6b8dff6434f,popqa,5,1,5
ce0d1bd7-042f-4503-8ef9-3c0f04e5c433,popqa,5,1,5
056160dd-bd95-45e1-8f7f-c3649ee78e24,popqa,5,1,5
2da6c37b-e4a2-44c2-a6b4-ef9c9b3cc1ef,popqa,6,2,5
1d640f82-ac32-43a5-8ccc-8a502fc4f342,popqa,5,5,5
bf96e1b4-b4f7-4c7d-9004-20759bc39f8a,popqa,5,1,5
9fe11d6e-2634-44c3-84ff-35b6873d6750,popqa,5,1,5
f88e315c-c4d8-47ee-98b0-57b309221aa3,popqa,6,2,5
38878a2e-ae69-44f2-b606-b72dd15ddf92,popqa,6,2,5
094243a1-1a81-4b07-937d-007194798264,popqa,5,1,5
d86e4b65-10ba-44e1-8b17-e4b952e6f8af,popqa,5,4,5
3c4d6443-4cf9-4e03-bbb5-f06281ff7a2b,popqa,4,4,5
0281c798-3494-4ec9-a1ad-1a70e7fcf71c,popqa,6,3,5
f7f7e3ef-e4f0-418f-b1e2-81164989b876,popqa,5,1,5
b77a9faa-330e-41a2-b893-b0b98c448a3f,popqa,5,1,5
19183d8e-60a7-4d68-a838-3360e352a774,popqa,5,1,5
dc2e63b2-e6eb-462b-8227-30bf82d15704,popqa,5,2,5
46744b36-df02-42d9-bc8d-f70a245a83e9,popqa,5,2,5
a70ba480-c9fa-49ff-b4df-a68424d4635f,popqa,5,1,5
f39724f8-39fd-4fe5-a1db-4c366c2e6988,popqa,5,1,5
13a90db1-36ec-4707-ad2c-1c0afd34c24a,popqa,5,2,5
dac9ab34-e9a4-43c1-a6c1-299711a25985,popqa,6,2,5
1a3acc25-e593-4999-8652-612f42aff0f3,popqa,5,1,5
59ee69b1-f4d6-4cea-bc17-2ec1f066615f,popqa,6,1,5
b7ea0a28-9c7f-469f-a581-845e3ff2b383,popqa,5,1,5
305e9600-e316-46b0-9e95-2ef5dedd1178,popqa,5,1,5
3e7842a3-416b-4e96-97a4-444e96ff0655,popqa,5,5,5
55d7decd-7a10-4a37-9923-5e970c10be77,popqa,5,1,5
941f7ab7-04dc-495f-822b-6fc8f0cc34b0,popqa,5,1,5
b62518aa-0278-4bbb-823b-bd8c0295b153,popqa,4,4,5
4b0ef0af-25f3-464b-a238-80b0f96395d6,popqa,5,1,5
0b334104-8268-40d9-9ad7-05dbbe9bd30a,popqa,5,1,5
89aeefef-73f0-4da1-88e0-b0e381475595,popqa,5,2,5
08e79974-675c-4ce5-9e1d-952c088522d1,popqa,5,1,5
2b1cbd52-01d8-4798-aac4-3893c05a368d,popqa,5,1,5
0b23b2b2-5736-4599-a0f5-da43bee2461b,popqa,5,1,5
27dd4b34-cfc2-4cfd-97be-1fe008e3cdcc,popqa,5,1,5
6e1c9f55-c77a-4527-8170-e98a869f0f30,popqa,5,2,5
8f4c2f14-b410-42f9-9855-843cc57c5771,popqa,5,1,5
075fcad0-3d05-449c-b372-a07ebbe3d334,popqa,5,1,5
d5a55717-ccfd-4ef7-95a5-dc6bf0ad65cf,popqa,5,1,5
f723e4d6-b608-43ec-8f46-b0c6ce85bd15,popqa,4,3,5
d2e16cd5-565e-443a-b0a1-4a830d981bce,popqa,5,1,5
38cbff2d-02dc-4190-b053-d00e63654a23,popqa,5,2,5
a93e7f40-30ad-45f7-a3cd-19ee5d5dc492,popqa,5,2,5
af740e63-89a7-42e0-8590-798437f7490d,popqa,5,1,5
c36868e1-21bd-435d-a51b-e5c0f6b86306,popqa,5,2,5
c9d7b764-40e1-4090-a025-b06c50f1d6a0,popqa,5,1,5
8adda8ac-2a34-457c-8f8d-df128285da7b,popqa,5,1,5
055869b8-82e0-4321-94cb-6dcc0a3933c0,popqa,6,3,5
3061dbd0-d2ff-4692-94a0-e1e24bd09987,popqa,5,1,5
4d70a67d-9ada-4426-9735-919c642953cf,popqa,5,1,5
