query_id,text,length_words,relevant_docs,nDCG@20
65,aruba,1,8,0.9648902159570616
10329,porsche,1,9,0.9326585389669974
3257,dartmoor,1,9,0.8033704263209605
17962,korn,1,8,0.7985691147103252
14410,xml,1,18,0.7985094319484624
12865,tuvalu,1,8,0.7505578169542533
14445,yukon,1,6,0.7391884813021654
6635,joseph haydn,2,6,0.7181206930312029
13851,volkswagen,1,6,0.7144842327902778
4548,finger lakes,2,6,0.6808138772561948
4603,fine gael,2,10,0.6734442887421126
24286,trafalgar square,2,7,0.6633017608700045
11170,rajasthan,1,6,0.6582004578130516
1687,borneo,1,9,0.6496269624865305
17917,cp m,2,6,0.6193477686601955
