relevant_docs_bucket,AP,nDCG@20,run_id
<=10,0.23445525441828177,0.4105744792957874,tfidf_original_test
11-20,0.12099584405986985,0.2522249890185353,tfidf_original_test
21+,0.10215232900265178,0.28332216006628547,tfidf_original_test
<=10,0.23881441526224514,0.4195554578330542,tfidf_stemmed_test
11-20,0.12900232591426555,0.28404121729352827,tfidf_stemmed_test
21+,0.10124390627001659,0.2878769853520415,tfidf_stemmed_test
<=10,0.23611553875131153,0.41187365517356594,tfidf_lemmatized_test
11-20,0.12535102438311008,0.26935395668372997,tfidf_lemmatized_test
21+,0.10136985189312125,0.2813092828066191,tfidf_lemmatized_test
<=10,0.25635406624070234,0.4494795257853055,bm25_original_test_k1_1.5_b_0.75
11-20,0.13990046169391765,0.2862465731761156,bm25_original_test_k1_1.5_b_0.75
21+,0.10898136836191709,0.2939081647531008,bm25_original_test_k1_1.5_b_0.75
<=10,0.2603993432926926,0.4544757283876373,bm25_stemmed_test_k1_1.5_b_0.75
11-20,0.14878156247580873,0.3202481740094197,bm25_stemmed_test_k1_1.5_b_0.75
21+,0.11005320737237088,0.29693309868323065,bm25_stemmed_test_k1_1.5_b_0.75
<=10,0.2566413012333113,0.4458971986591925,bm25_lemmatized_test_k1_1.5_b_0.75
11-20,0.14616330754710904,0.3067700147749347,bm25_lemmatized_test_k1_1.5_b_0.75
21+,0.10819050811683509,0.295902909985261,bm25_lemmatized_test_k1_1.5_b_0.75
