query_id,relevant_docs
3,21
4,378
6,6
9,19
22,9
23,14
24,10
27,8
28,7
30,35
33,167
34,8
48,7
64,81
67,102
69,13
78,23
79,10
80,10
82,20
84,12
91,34
96,14
110,21
111,11
117,24
119,19
124,39
128,67
133,19
155,11
170,15
171,7
180,27
182,10
198,8
202,12
239,10
249,7
252,6
255,7
273,9
274,30
275,6
290,15
323,11
349,6
350,6
387,7
397,6
489,7
573,75
576,9
593,453
618,16
621,25
648,7
669,19
686,6
707,8
716,7
781,41
793,8
807,7
809,18
951,23
956,7
971,6
1025,7
1036,8
1037,7
1061,20
1070,10
1109,12
1137,15
1197,46
1201,253
1203,38
1219,27
1220,49
1221,51
1222,7
1234,26
1248,8
1250,13
1251,10
1253,19
1254,30
1255,21
1256,14
1257,19
1258,18
1259,11
1260,7
1262,14
1321,26
1322,7
1333,9
1334,6
1348,48
1349,19
1352,6
1358,7
1415,13
1427,20
1445,7
1446,9
1468,6
1490,7
1512,73
1546,19
1571,8
1584,14
1585,8
1588,20
1599,6
1608,6
1640,31
1673,24
1701,14
1738,19
1756,9
1778,8
1787,35
1799,9
1843,10
1868,6
1874,69
1883,10
1956,7
1959,14
1962,7
1967,53
1975,141
1979,14
1981,25
1988,6
1992,8
2002,17
2007,10
2008,6
2015,11
2018,41
2038,13
2055,320
2058,152
2059,826
2080,10
2102,15
2112,15
2113,43
2126,17
2154,22
2161,17
2167,9
2174,16
2175,8
2177,19
2178,38
2184,9
2222,12
2227,7
2228,6
2235,6
2240,17
2242,6
2253,9
2254,7
2268,10
2292,6
2302,16
2303,12
2326,12
2335,33
2336,51
2366,6
2403,37
2412,7
2423,10
2434,7
2449,19
2451,7
2465,17
2469,9
2473,6
2490,7
2495,14
2538,172
2560,11
2574,7
2580,28
2598,7
2599,9
2613,7
2654,55
2679,11
2692,69
2722,131
2757,13
2782,11
2791,7
2801,9
2820,8
2835,21
2846,6
2865,6
2867,8
2889,6
2890,9
2904,8
2933,32
2938,10
3004,24
3109,43
3133,6
3143,7
3147,69
3158,20
3160,58
3162,7
3210,13
3231,19
3233,6
3243,12
3256,34
3275,22
3285,58
3291,7
3307,12
3314,7
3326,11
3403,44
3410,8
3416,7
3426,7
3483,8
3484,25
3549,7
3607,9
3611,12
3656,63
3683,123
3684,21
3689,156
3692,13
3698,6
3725,464
3726,62
3730,12
3734,18
3751,10
3759,6
3792,13
3793,12
3795,6
3827,9
3844,12
3847,8
3858,6
3866,22
3897,8
3898,16
3919,25
3926,19
3956,6
3989,6
4042,50
4051,7
4085,7
4120,15
4146,28
4157,12
4204,6
4223,15
4334,118
4383,9
4397,6
4441,9
4449,35
4451,18
4461,8
4463,21
4513,6
4519,6
4563,12
4584,56
4589,6
4591,8
4605,11
4629,13
4643,6
4648,22
4680,8
4722,22
4751,36
4811,8
4832,9
4851,18
4852,18
4855,652
4859,9
4860,110
4861,215
4863,12
4882,6
4900,10
4906,12
4916,10
4925,17
4944,8
4948,115
4956,27
4978,6
4991,7
5012,6
5028,6
5102,30
5129,9
5130,9
5131,8
5140,7
5151,6
5195,13
5204,8
5218,19
5220,26
5246,7
5256,6
5277,6
5330,9
5331,8
5341,13
5396,6
5439,10
5460,10
5474,103
5476,40
5478,32
5499,13
5508,16
5509,14
5518,46
5542,32
5543,6
5554,11
5558,28
5570,16
5582,7
5622,18
5653,16
5660,7
5701,18
5704,12
5705,19
5713,12
5719,27
5735,6
5769,19
5775,9
5842,15
5848,6
5867,9
5872,6
5877,9
5895,17
5942,32
5960,6
5979,10
5989,9
6008,39
6009,275
6010,131
6013,73
6024,93
6031,16
6033,53
6046,6
6047,192
