iter	Passed	Remaining
0	282	84610
1	467	69634
2	614	60873
3	744	55070
4	977	57643
5	1183	57985
6	1322	55358
7	1448	52879
8	1575	50955
9	1713	49705
10	1845	48475
11	1964	47159
12	2120	46814
13	2292	46839
14	2530	48070
15	2685	47671
16	2821	46961
17	2968	46500
18	3098	45822
19	3240	45369
20	3487	46337
21	3622	45779
22	3765	45349
23	3891	44751
24	4022	44248
25	4163	43880
26	4295	43435
27	4447	43205
28	4592	42920
29	4728	42560
30	4861	42188
31	4990	41792
32	5118	41413
33	5258	41141
34	5393	40839
35	5541	40635
36	5662	40246
37	5784	39880
38	5910	39555
39	6036	39239
40	6174	39005
41	6340	38949
42	6512	38924
43	6652	38703
44	6783	38437
45	6912	38168
46	7030	37843
47	7163	37610
48	7295	37371
49	7421	37108
50	7569	36955
51	7691	36681
52	7821	36453
53	7957	36252
54	8089	36033
55	8225	35839
56	8365	35662
57	8524	35565
58	8661	35378
59	8784	35136
60	8910	34913
61	9040	34702
62	9190	34573
63	9325	34386
64	9460	34204
65	9596	34022
66	9727	33826
67	9873	33687
68	10031	33582
69	10202	33522
70	10473	33780
71	10638	33687
72	10781	33524
73	11020	33657
74	11212	33637
75	11370	33514
76	11572	33514
77	11702	33306
78	11851	33153
79	11978	32940
80	12117	32762
81	12313	32736
82	12514	32719
83	12638	32498
84	12860	32528
85	12992	32329
86	13127	32138
87	13301	32045
88	13492	31988
89	13632	31810
90	13768	31621
91	14110	31901
92	14271	31766
93	14518	31816
94	14693	31706
95	14868	31596
96	15016	31427
97	15144	31216
98	15281	31026
99	15427	30855
100	15582	30701
101	15744	30562
102	15911	30433
103	16085	30315
104	16235	30151
105	16364	29950
106	16530	29817
107	16685	29663
108	16822	29478
109	16986	29339
110	17156	29212
111	17317	29068
112	17462	28897
113	17582	28686
114	17718	28503
115	17843	28303
116	17973	28111
117	18097	27912
118	18237	27738
119	18547	27821
120	18820	27842
121	19286	28138
122	19611	28221
123	19784	28080
124	19974	27963
125	20187	27877
126	20320	27681
127	20484	27526
128	20645	27367
129	20795	27193
130	21050	27156
131	21298	27107
132	21458	26943
133	21608	26768
134	21753	26587
135	21920	26433
136	22142	26344
137	22324	26206
138	22509	26072
139	22642	25876
140	22783	25691
141	22948	25533
142	23088	25349
143	23256	25194
144	23492	25112
145	23632	24927
146	23779	24750
147	23949	24597
148	24135	24459
149	24292	24292
150	24452	24129
151	24599	23952
152	24734	23764
153	24870	23578
154	25000	23387
155	25140	23206
156	25286	23031
157	25421	22847
158	25558	22664
159	25699	22487
160	25829	22300
161	25968	22120
162	26100	21937
163	26238	21758
164	26370	21575
165	26509	21399
166	26664	21235
167	26820	21072
168	26962	20899
169	27095	20719
170	27250	20557
171	27385	20380
172	27533	20212
173	27662	20031
174	27796	19854
175	27929	19677
176	28087	19518
177	28222	19343
178	28359	19170
179	28497	18998
180	28631	18823
181	28761	18647
182	28896	18474
183	29036	18305
184	29174	18135
185	29330	17976
186	29493	17821
187	29623	17647
188	29748	17471
189	29869	17292
190	30011	17127
191	30207	16991
192	30368	16836
193	30544	16689
194	30731	16547
195	30990	16443
196	31228	16327
197	31398	16175
198	31542	16008
199	31671	15835
200	31802	15663
201	31962	15506
202	32119	15347
203	32294	15197
204	32473	15048
205	32624	14886
206	32749	14713
207	32875	14540
208	33027	14380
209	33198	14228
210	33381	14080
211	33539	13922
212	33680	13756
213	33823	13592
214	33963	13427
215	34105	13263
216	34242	13097
217	34378	12931
218	34527	12770
219	34659	12603
220	34788	12435
221	34935	12274
222	35072	12110
223	35218	11949
224	35353	11784
225	35547	11639
226	35722	11487
227	35865	11325
228	36009	11164
229	36195	11016
230	36338	10854
231	36553	10713
232	36690	10550
233	36833	10388
234	36967	10224
235	37103	10061
236	37244	9900
237	37418	9747
238	37598	9596
239	37728	9432
240	37862	9269
241	38005	9108
242	38145	8947
243	38276	8784
244	38422	8625
245	38570	8466
246	38724	8309
247	38963	8169
248	39161	8021
249	39331	7866
250	39522	7715
251	39692	7560
252	39837	7400
253	39982	7240
254	40246	7102
255	40411	6945
256	40558	6786
257	40703	6626
258	41002	6490
259	41229	6343
260	41368	6181
261	41517	6021
262	41732	5871
