iter	Passed	Remaining
0	188	56285
1	255	38095
2	327	32391
3	422	31253
4	491	28986
5	554	27193
6	621	26018
7	718	26211
8	798	25828
9	871	25283
10	974	25609
11	1046	25123
12	1108	24463
13	1168	23868
14	1223	23251
15	1296	23006
16	1371	22824
17	1434	22476
18	1498	22161
19	1556	21785
20	1642	21820
21	1714	21665
22	1789	21547
23	1875	21570
24	1941	21357
25	2014	21225
26	2089	21127
27	2171	21090
28	2246	20990
29	2335	21019
30	2421	21014
31	2491	20862
32	2565	20761
33	2630	20579
34	2692	20384
35	2778	20375
36	2872	20417
37	2947	20324
38	3060	20482
39	3143	20435
40	3229	20404
41	3295	20242
42	3368	20132
43	3440	20018
44	3520	19948
45	3580	19768
46	3642	19607
47	3717	19516
48	3792	19428
49	3858	19291
50	3914	19112
51	3980	18985
52	4083	19031
53	4160	18951
54	4228	18837
55	4288	18683
56	4353	18559
57	4430	18484
58	4496	18366
59	4551	18206
60	4611	18068
61	4668	17920
62	4750	17872
63	4807	17729
64	4867	17598
65	4925	17462
66	4980	17318
67	5083	17344
68	5143	17217
69	5197	17077
70	5255	16950
71	5312	16823
72	5383	16739
73	5483	16745
74	5592	16777
75	5663	16693
76	5752	16660
77	5861	16682
78	5922	16568
79	6003	16509
80	6074	16424
81	6135	16311
82	6203	16219
83	6270	16124
84	6332	16017
85	6399	15923
86	6519	15961
87	6668	16065
88	6812	16150
89	6947	16211
90	7042	16175
91	7174	16220
92	7237	16110
93	7312	16025
94	7387	15941
95	7444	15819
96	7501	15699
97	7562	15588
98	7630	15492
99	7723	15446
100	7807	15384
101	7872	15281
102	7955	15214
103	8090	15247
104	8153	15141
105	8206	15019
106	8260	14900
107	8322	14795
108	8402	14723
109	8467	14625
110	8523	14513
111	8577	14398
112	8646	14308
113	8707	14207
114	8789	14139
115	8852	14042
116	8919	13950
117	9081	14006
118	9240	14054
119	9311	13967
120	9408	13918
121	9494	13852
122	9582	13789
123	9634	13675
124	9695	13573
125	9763	13483
126	9833	13394
127	9905	13310
128	10008	13266
129	10096	13203
130	10164	13112
131	10228	13018
132	10286	12916
133	10342	12812
134	10402	12714
135	10468	12624
136	10533	12532
137	10599	12443
138	10660	12348
139	10720	12251
140	10813	12194
141	10877	12103
142	10945	12017
143	11010	11927
144	11075	11839
145	11154	11765
146	11222	11680
147	11313	11619
148	11369	11522
149	11440	11440
150	11499	11346
151	11560	11256
152	11617	11161
153	11675	11068
154	11765	11006
155	11828	10918
156	11887	10827
157	11946	10736
158	12016	10656
159	12090	10579
160	12152	10491
161	12218	10408
162	12277	10318
163	12342	10235
164	12408	10152
165	12467	10064
166	12556	10000
167	12636	9929
168	12697	9842
169	12773	9767
170	12839	9686
171	12906	9604
172	12982	9530
173	13055	9453
174	13114	9367
175	13181	9286
176	13242	9202
177	13322	9131
178	13397	9056
179	13460	8973
180	13515	8886
181	13585	8808
182	13650	8727
183	13711	8644
184	13786	8570
185	13854	8491
186	13925	8414
187	13997	8339
188	14093	8277
189	14150	8192
190	14220	8115
191	14287	8036
192	14361	7962
193	14425	7882
194	14501	7808
195	14584	7738
196	14658	7664
197	14720	7583
198	14802	7512
199	14857	7428
200	14924	7350
201	14992	7273
202	15063	7197
203	15128	7119
204	15223	7054
205	15299	6981
206	15361	6901
207	15472	6843
208	15538	6765
209	15668	6714
210	15794	6662
211	15864	6585
212	15930	6506
213	16020	6438
214	16111	6369
215	16177	6291
216	16242	6212
217	16311	6135
218	16381	6059
219	16461	5985
220	16612	5938
221	16760	5888
222	16927	5845
223	16993	5765
224	17067	5689
225	17218	5637
226	17319	5569
227	17428	5503
228	17603	5457
229	17679	5380
230	17746	5300
231	17843	5230
232	18019	5181
233	18153	5120
234	18213	5037
235	18280	4957
236	18352	4878
237	18449	4806
238	18507	4723
239	18569	4642
240	18642	4563
241	18709	4484
242	18763	4401
243	18828	4321
244	18887	4240
245	18959	4161
246	19100	4098
247	19169	4019
248	19232	3939
249	19294	3858
250	19362	3779
251	19430	3701
252	19492	3621
253	19624	3554
254	19698	3476
255	19763	3396
256	19831	3318
257	19910	3241
258	19983	3163
259	20053	3085
260	20121	3006
261	20193	2928
262	20259	2850
263	20324	2771
264	20389	2692
265	20447	2613
266	20522	2536
267	20585	2457
268	20655	2380
269	20724	2302
270	20794	2225
271	20874	2148
272	20939	2070
273	21010	1993
274	21078	1916
275	21147	1838
276	21218	1761
277	21277	1683
278	21343	1606
279	21420	1530
280	21501	1453
281	21575	1377
282	21672	1301
283	21746	1225
284	21817	1148
285	21884	1071
286	21996	996
287	22095	920
288	22160	843
289	22221	766
290	22297	689
291	22358	612
292	22445	536
293	22511	459
294	22586	382
295	22668	306
296	22742	229
297	22821	153
298	22886	76
299	22947	0
