iter	Passed	Remaining
0	42	12599
1	63	9513
2	85	8476
3	108	7994
4	129	7654
5	150	7380
6	171	7184
7	192	7030
8	215	6954
9	236	6851
10	256	6732
11	279	6698
12	305	6737
13	328	6703
14	349	6641
15	372	6615
16	395	6584
17	417	6543
18	441	6526
19	462	6481
20	544	7231
21	646	8173
22	720	8674
23	768	8832
24	803	8833
25	980	10332
26	1058	10704
27	1096	10651
28	1127	10536
29	1159	10439
30	1183	10268
31	1203	10080
32	1230	9953
33	1256	9828
34	1288	9754
35	1319	9673
36	1349	9593
37	1371	9457
38	1396	9344
39	1418	9217
40	1441	9106
41	1463	8991
42	1484	8870
43	1505	8760
44	1525	8646
45	1548	8551
46	1571	8460
47	1594	8370
48	1615	8273
49	1635	8175
50	1656	8088
51	1677	8002
52	1713	7986
53	1738	7920
54	1764	7859
55	1826	7958
56	1877	8004
57	1906	7956
58	1932	7892
59	1958	7834
60	1981	7764
61	2010	7717
62	2034	7652
63	2066	7619
64	2096	7579
65	2131	7557
66	2241	7795
67	2636	8993
68	2748	9201
69	2788	9161
70	2998	9671
71	3022	9571
72	3062	9522
73	3115	9513
74	3160	9481
75	3207	9454
76	3267	9461
77	3335	9493
78	3374	9439
79	3413	9385
80	3457	9347
81	3495	9292
82	3538	9251
83	3582	9211
84	3635	9195
85	3677	9151
86	3712	9088
87	3746	9025
88	3798	9005
89	3871	9033
90	3902	8963
91	3940	8909
92	3971	8839
93	3999	8765
94	4054	8750
95	4149	8817
96	4187	8763
97	4240	8741
98	4303	8737
99	4370	8740
100	4409	8687
101	4440	8618
102	4471	8551
103	4502	8484
104	4624	8588
105	4676	8559
106	4704	8485
107	4730	8410
108	4756	8334
109	4784	8264
110	4805	8181
111	4859	8157
112	4911	8128
113	4944	8066
114	4988	8024
115	5018	7961
116	5051	7901
117	5085	7843
118	5117	7784
119	5144	7716
120	5174	7654
121	5199	7586
122	5228	7523
123	5317	7547
124	5372	7521
125	5396	7452
126	5433	7400
127	5472	7353
128	5502	7293
129	5533	7236
130	5566	7181
131	5601	7128
132	5631	7071
133	5664	7017
134	5717	6988
135	5754	6939
136	5779	6876
137	5802	6811
138	5834	6758
139	5874	6713
140	5918	6674
141	5955	6626
142	5988	6575
143	6019	6521
144	6049	6466
145	6074	6406
146	6097	6346
147	6129	6295
148	6167	6250
149	6204	6204
150	6265	6182
151	7346	7153
152	7458	7166
153	7554	7162
154	7879	7370
155	7981	7367
156	8130	7405
157	8259	7423
158	8346	7401
159	8420	7368
160	8472	7314
161	8587	7315
162	8647	7268
163	8720	7231
164	8801	7201
165	8910	7193
166	8950	7128
167	8988	7062
168	9024	6995
169	9060	6928
170	9089	6856
171	9120	6787
172	9147	6715
173	9206	6667
174	9253	6609
175	9336	6578
176	9390	6525
177	9435	6467
178	9494	6418
179	9541	6361
180	9583	6300
181	9607	6228
182	9634	6159
183	9668	6095
184	9691	6024
185	9718	5956
186	9822	5935
187	10059	5992
188	10097	5930
189	10147	5875
190	10210	5826
191	10324	5807
192	10373	5751
193	10407	5686
194	10435	5619
195	10467	5554
196	10520	5500
197	10579	5450
198	10616	5388
199	10658	5329
200	10689	5264
201	10715	5198
202	10847	5183
203	10891	5125
204	10924	5062
205	10951	4997
206	11068	4972
207	11223	4964
208	11307	4923
209	11366	4871
210	11470	4838
211	11612	4820
212	11664	4764
213	11717	4708
214	11779	4656
215	11822	4597
216	11883	4545
217	11917	4482
218	11951	4420
219	11992	4360
220	12024	4298
221	12059	4237
222	12096	4176
223	12142	4119
224	12173	4057
225	12212	3998
226	12248	3939
227	12275	3876
228	12315	3818
229	12346	3757
230	12369	3694
231	12401	3634
232	12438	3576
233	12725	3589
234	12792	3538
235	12829	3479
236	12857	3417
237	12884	3356
238	12921	3297
239	12950	3237
240	12977	3176
241	13033	3123
242	13082	3068
243	13130	3013
244	13172	2957
245	13223	2902
246	13263	2846
247	13328	2794
248	13359	2736
249	13393	2678
250	13433	2622
251	13465	2564
252	13495	2506
253	13530	2450
254	13561	2393
255	13787	2369
256	13848	2316
257	13886	2260
258	13919	2203
259	13961	2147
260	13991	2090
261	14027	2034
262	14059	1978
263	14092	1921
264	14128	1866
265	14154	1809
266	14184	1753
267	14220	1698
268	14248	1642
269	14270	1585
270	14300	1530
271	14329	1475
272	14352	1419
273	14386	1365
274	14422	1311
275	14457	1257
276	14562	1209
277	14602	1155
278	14640	1101
279	14666	1047
280	14718	995
281	14741	940
282	14768	887
283	14794	833
284	14829	780
285	14860	727
286	14887	674
287	14909	621
288	14932	568
289	14954	515
290	14991	463
291	15037	411
292	15078	360
293	15111	308
294	15140	256
295	15180	205
296	15228	153
297	15261	102
298	15295	51
299	15324	0
