iter	PairLogit
0	0.6781582998
1	0.6635867055
2	0.6509682883
3	0.6386908149
4	0.6296788488
5	0.6208701977
6	0.6131424343
7	0.6068894407
8	0.6001432911
9	0.5944403033
10	0.5896095681
11	0.5846479854
12	0.5791899967
13	0.5752821261
14	0.5715120626
15	0.568203136
16	0.5652587645
17	0.5626718221
18	0.5599325777
19	0.5580452251
20	0.5558243775
21	0.5540536878
22	0.5518670541
23	0.5498587039
24	0.5478560457
25	0.5460351237
26	0.5443140961
27	0.5426977146
28	0.5414838995
29	0.5402484041
30	0.5387011603
31	0.5373316907
32	0.5364461649
33	0.5353944112
34	0.5344286606
35	0.5333189534
36	0.532201206
37	0.5311203675
38	0.5305624164
39	0.5297187171
40	0.5289439099
41	0.5280984465
42	0.5272243909
43	0.5262882597
44	0.5256966485
45	0.5249308862
46	0.524307524
47	0.5237849053
48	0.5231580383
49	0.5225232772
50	0.5221474579
51	0.5217350694
52	0.5212071182
53	0.5206377338
54	0.5200356817
55	0.5195708521
56	0.5190983305
57	0.5185600187
58	0.5181805
59	0.5179409128
60	0.5176808885
61	0.5169066266
62	0.516480414
63	0.5161311264
64	0.5156310691
65	0.5151399136
66	0.5145871476
67	0.5142828337
68	0.5138519276
69	0.5133912432
70	0.5127590203
71	0.5124605993
72	0.5120209517
73	0.5116768813
74	0.5113030311
75	0.5110787663
76	0.5107640539
77	0.5105326582
78	0.5100336395
79	0.509432932
80	0.509187287
81	0.5086693334
82	0.5084352965
83	0.5081666227
84	0.5079958938
85	0.5076092018
86	0.5072702647
87	0.5067734606
88	0.5063884719
89	0.506106572
90	0.5058810892
91	0.50567326
