iter	Passed	Remaining
0	127	38111
1	171	25557
2	200	19860
3	252	18666
4	285	16861
5	321	15749
6	375	15707
7	403	14731
8	426	13792
9	460	13342
10	493	12955
11	517	12416
12	537	11855
13	556	11373
14	583	11095
15	608	10806
16	629	10474
17	649	10180
18	669	9899
19	688	9644
20	707	9400
21	725	9168
22	749	9026
23	779	8966
24	824	9073
25	865	9116
26	901	9117
27	926	8999
28	946	8849
29	969	8727
30	994	8630
31	1019	8537
32	1046	8470
33	1075	8413
34	1100	8333
35	1125	8250
36	1153	8197
37	1178	8127
38	1202	8049
39	1226	7970
40	1247	7882
41	1268	7790
42	1288	7698
43	1311	7629
44	1333	7557
45	1353	7475
46	1373	7391
47	1400	7350
48	1491	7641
49	1532	7663
50	1560	7620
51	1597	7617
52	1616	7532
53	1637	7457
54	1672	7449
55	1701	7415
56	1727	7362
57	1767	7373
58	1816	7421
59	1852	7411
60	1890	7406
61	1912	7341
62	1934	7275
63	1960	7227
64	1982	7168
65	2005	7109
66	2027	7049
67	2055	7014
68	2077	6954
69	2102	6908
70	2127	6862
71	2350	7443
72	2405	7480
73	2450	7483
74	2489	7468
75	2521	7432
76	2564	7427
77	2611	7433
78	2649	7411
79	2684	7382
80	2707	7320
81	2731	7262
82	2769	7240
83	2796	7191
84	2828	7153
85	2870	7142
86	2903	7108
87	2925	7048
88	2946	6986
89	2970	6930
90	2991	6869
91	3014	6815
