iter	Passed	Remaining
0	96	38460
1	113	22680
2	131	17426
3	162	16111
4	228	18039
5	313	20596
6	377	21209
7	427	20968
8	454	19745
9	471	18369
10	487	17241
11	512	16582
12	561	16722
13	612	16885
14	636	16328
15	669	16060
16	716	16152
17	755	16035
18	776	15562
19	794	15092
20	819	14781
21	836	14373
22	854	14002
23	883	13836
24	902	13530
25	917	13204
26	933	12900
27	950	12625
28	976	12492
29	997	12305
30	1034	12314
31	1068	12284
32	1083	12051
33	1099	11833
34	1113	11614
35	1129	11422
36	1145	11243
37	1159	11041
38	1174	10872
39	1211	10901
40	1309	11464
41	1395	11892
42	1453	12071
43	1477	11950
44	1516	11965
45	1583	12183
46	1618	12154
47	1654	12134
48	1692	12125
49	1728	12102
50	1752	11993
51	1771	11852
52	1788	11709
53	1801	11542
54	1821	11424
55	1840	11308
56	1861	11201
57	1884	11110
58	1907	11022
59	1927	10923
60	1945	10811
61	1968	10729
62	2006	10730
63	2091	10981
64	2133	10998
65	2223	11254
66	2256	11213
67	2276	11115
68	2294	11006
69	2364	11147
70	2440	11310
71	2460	11208
72	2475	11087
73	2490	10972
74	2510	10877
75	2534	10804
