iter	Passed	Remaining
0	28	8634
1	81	12199
2	119	11787
3	191	14202
4	213	12617
5	229	11227
6	244	10237
7	263	9610
8	284	9198
9	314	9122
10	336	8841
11	354	8496
12	377	8332
13	405	8280
14	444	8449
15	465	8268
16	481	8008
17	500	7844
18	522	7725
19	543	7609
20	560	7441
21	580	7330
22	603	7265
23	627	7211
24	644	7084
25	664	6999
26	681	6889
27	700	6804
28	720	6733
29	746	6721
30	765	6639
31	786	6583
32	805	6517
33	820	6417
34	844	6394
35	863	6334
36	881	6265
37	900	6211
38	915	6126
39	932	6058
40	946	5980
41	961	5904
42	976	5837
43	997	5803
44	1020	5781
45	1047	5784
46	1078	5805
47	1103	5793
48	1119	5734
49	1133	5669
50	1153	5630
51	1166	5561
52	1180	5501
53	1192	5434
54	1206	5373
55	1219	5313
56	1233	5257
57	1247	5206
58	1260	5150
59	1275	5102
60	1288	5049
61	1304	5007
62	1318	4959
63	1331	4911
64	1349	4880
65	1372	4864
66	1395	4853
67	1416	4832
68	1434	4802
69	1450	4766
70	1464	4723
71	1479	4685
72	1502	4670
73	1518	4637
74	1547	4643
75	1570	4627
76	1592	4612
77	1612	4589
78	1626	4550
79	1644	4521
80	1675	4529
81	1710	4547
82	1728	4518
83	1743	4482
84	1757	4445
85	1772	4410
86	1790	4384
87	1816	4376
88	1835	4351
89	1852	4322
90	1867	4289
91	1879	4248
92	1893	4214
93	1909	4184
94	1923	4150
95	1957	4159
96	2024	4237
97	2068	4264
98	2088	4241
99	2136	4272
100	2154	4244
101	2168	4208
102	2183	4175
103	2195	4138
104	2208	4101
105	2235	4091
106	2262	4080
107	2284	4061
108	2304	4038
109	2322	4011
110	2343	3990
111	2367	3973
112	2401	3973
113	2418	3945
114	2435	3917
115	2468	3916
116	2515	3934
117	2535	3910
118	2563	3898
119	2588	3882
120	2605	3855
121	2628	3834
122	2652	3816
123	2671	3791
124	2720	3808
125	2742	3786
126	2769	3772
127	2800	3763
128	2828	3748
129	2857	3737
130	2920	3767
131	2947	3751
132	2975	3736
133	3014	3734
134	3070	3752
135	3138	3784
136	3167	3769
137	3192	3747
138	3235	3747
139	3250	3715
140	3265	3682
141	3279	3648
142	3292	3615
143	3305	3581
144	3323	3553
145	3338	3521
146	3355	3492
