iter	Passed	Remaining
0	110	33050
1	160	23970
2	193	19195
3	220	16335
4	283	16729
5	363	17797
6	447	18719
7	546	19951
8	587	18984
9	618	17938
10	662	17410
11	685	16445
12	713	15760
13	793	16212
14	1008	19152
15	1077	19121
16	1157	19274
17	1233	19330
18	1329	19661
19	1372	19218
20	1467	19500
21	1569	19833
22	1603	19308
23	1627	18713
24	1641	18055
25	1654	17440
26	1677	16963
27	1698	16500
28	1747	16334
29	1781	16034
30	1808	15693
31	1836	15382
32	1872	15149
33	1895	14831
34	1922	14556
35	1939	14223
36	1954	13895
37	1971	13591
38	1989	13317
39	2004	13029
40	2021	12767
41	2040	12536
42	2055	12287
43	2077	12084
44	2103	11918
45	2410	13308
46	2524	13590
47	2600	13653
48	2650	13576
49	2699	13496
50	2722	13294
51	2800	13357
52	2830	13189
53	2855	13006
54	2875	12810
55	2912	12688
56	2965	12643
57	3140	13104
58	3756	15344
59	3839	15356
60	3901	15287
61	4010	15393
62	4090	15389
63	4162	15347
64	4227	15283
65	4287	15199
66	4442	15450
67	4511	15391
68	4570	15302
69	4680	15379
70	4958	15994
71	5085	16105
72	5223	16244
73	5329	16277
74	5420	16260
75	5492	16188
76	5636	16322
77	5668	16134
78	5743	16068
79	5928	16302
80	6061	16388
81	6153	16358
82	6246	16332
83	6304	16211
84	6383	16146
85	6419	15974
86	6452	15796
87	6535	15745
88	6564	15561
89	6585	15365
90	6615	15194
91	6659	15057
92	6689	14888
93	6709	14703
94	6732	14528
95	6762	14369
96	6786	14203
97	6879	14179
98	6992	14197
99	7099	14199
100	7221	14228
101	7256	14086
102	7280	13925
103	7309	13775
104	7343	13638
105	7367	13484
106	7435	13411
107	7477	13292
108	7538	13208
