iter	PairLogit
0	0.6898255475
1	0.6851010546
2	0.6808107013
3	0.6771440974
4	0.6733985514
5	0.6699647099
6	0.6671778878
7	0.663720989
8	0.6615257417
9	0.659755143
10	0.6569414847
11	0.6553300129
12	0.6536419672
13	0.6521781294
14	0.6502965175
15	0.6492421035
16	0.6481568043
17	0.6469294966
18	0.6454951031
19	0.6432788032
20	0.6427186195
21	0.6415602656
22	0.639598624
23	0.6383538785
24	0.6368437382
25	0.636205968
26	0.6351198766
27	0.634469486
28	0.6337198683
29	0.632784324
30	0.6319542526
31	0.6312039446
32	0.6304428145
33	0.6291580948
34	0.6283533969
35	0.6271409106
36	0.6262124343
37	0.6243683939
38	0.6233305628
39	0.6229153245
40	0.6225009262
41	0.6219149936
42	0.6210293305
43	0.6204354103
44	0.6200674798
45	0.6195635301
46	0.6189626216
47	0.6185128103
48	0.6178831597
49	0.6174766063
50	0.6170315262
51	0.6168993625
52	0.6164777417
53	0.6156407787
54	0.6152821445
55	0.6151424034
56	0.6147826759
57	0.6146643245
58	0.6143705402
59	0.6141041947
60	0.6138251759
61	0.6131474559
62	0.6130129893
63	0.6123576737
64	0.6120446548
