iter	Passed	Remaining
0	90	26917
1	141	21104
2	189	18739
3	237	17579
4	290	17120
5	344	16898
6	391	16376
7	459	16769
8	510	16492
9	588	17054
10	639	16809
11	705	16925
12	786	17361
13	923	18872
14	969	18424
15	1036	18396
16	1167	19429
17	1327	20793
18	1472	21777
19	1590	22267
20	1642	21827
21	1705	21551
22	1770	21324
23	1818	20911
24	1862	20488
25	1916	20202
26	1974	19961
27	2025	19673
28	2098	19607
29	2148	19335
30	2258	19596
31	2305	19308
32	2378	19243
33	2433	19035
34	2496	18904
35	2553	18725
36	2601	18493
37	2676	18453
38	2786	18646
39	2853	18547
40	2900	18324
41	2948	18111
42	2999	17926
43	3047	17733
44	3106	17603
45	3160	17450
46	3210	17284
47	3256	17096
48	3334	17079
49	3470	17354
50	3527	17221
51	3576	17059
52	3628	16911
53	3685	16787
54	3733	16633
55	3788	16505
56	3854	16432
57	3919	16354
58	3972	16226
59	4031	16127
60	4124	16159
61	4265	16375
62	4384	16495
63	4559	16813
64	4762	17217
