iter	Passed	Remaining
0	88	26343
1	111	16543
2	126	12553
3	140	10401
4	152	8989
5	165	8086
6	179	7519
7	193	7053
8	206	6680
9	220	6402
10	234	6156
11	246	5907
12	259	5720
13	272	5563
14	284	5412
15	298	5303
16	309	5160
17	324	5090
18	340	5031
19	359	5027
20	379	5043
21	391	4952
22	410	4947
23	424	4877
24	440	4844
25	457	4824
26	473	4787
27	492	4783
28	509	4761
29	525	4727
30	541	4696
31	557	4671
32	571	4627
33	585	4579
34	601	4551
35	616	4519
36	629	4477
37	642	4427
38	655	4388
39	668	4346
40	683	4318
41	700	4300
42	713	4264
43	731	4253
44	745	4225
45	759	4192
46	777	4183
47	795	4177
48	817	4188
49	836	4180
50	852	4160
51	870	4150
52	884	4122
53	912	4154
54	929	4141
55	946	4123
56	963	4106
57	977	4079
58	1001	4089
59	1029	4118
60	1073	4204
61	1129	4337
62	1154	4343
63	1172	4325
64	1189	4299
65	1205	4273
66	1223	4253
67	1244	4246
68	1261	4224
69	1275	4190
70	1286	4150
71	1300	4117
72	1314	4088
73	1332	4070
74	1349	4048
75	1361	4014
76	1377	3989
77	1392	3962
78	1405	3932
79	1424	3918
80	1439	3892
81	1454	3867
82	1466	3835
83	1480	3807
84	1493	3776
85	1506	3749
86	1524	3733
87	1550	3734
88	1565	3712
89	1589	3708
90	1606	3690
91	1626	3678
92	1640	3650
93	1654	3626
94	1667	3598
95	1686	3583
96	1701	3560
97	1723	3553
98	1748	3549
99	1774	3548
100	1788	3524
101	1802	3499
102	1816	3473
103	1831	3451
104	1846	3428
105	1858	3402
106	1871	3375
107	1884	3350
108	1896	3324
109	1910	3299
110	1925	3277
111	1937	3252
112	1952	3231
113	1966	3209
114	1979	3184
115	1996	3166
116	2055	3215
117	2115	3263
118	2136	3249
119	2159	3239
120	2173	3215
121	2187	3190
122	2199	3165
123	2213	3141
124	2226	3116
125	2240	3093
126	2253	3070
127	2265	3044
128	2282	3025
129	2296	3003
130	2309	2979
131	2324	2958
132	2339	2937
133	2353	2915
134	2369	2895
135	2392	2885
136	2415	2873
137	2434	2857
138	2449	2836
139	2462	2814
140	2474	2790
141	2487	2768
142	2500	2745
143	2519	2729
144	2536	2711
145	2550	2690
146	2563	2668
147	2577	2646
148	2597	2632
149	2629	2629
150	2645	2610
151	2657	2588
152	2672	2567
153	2691	2552
154	2716	2541
155	2751	2540
156	2768	2521
157	2788	2506
158	2816	2497
159	2842	2487
160	2864	2473
161	2895	2466
162	2935	2467
163	2972	2464
164	3010	2463
165	3089	2493
166	3114	2480
167	3141	2468
168	3182	2467
169	3202	2449
170	3218	2427
171	3232	2405
172	3246	2383
173	3260	2360
174	3284	2346
175	3299	2324
176	3312	2301
177	3325	2279
178	3341	2258
179	3356	2237
180	3375	2219
181	3393	2200
182	3423	2188
183	3456	2178
184	3472	2158
185	3504	2147
186	3522	2128
187	3535	2106
188	3579	2102
189	3613	2092
190	3659	2088
191	3710	2087
192	3816	2115
193	3910	2136
194	4071	2192
195	4248	2254
196	4315	2256
197	4348	2239
198	4386	2226
199	4435	2217
200	4557	2244
201	4658	2260
202	4724	2257
203	4835	2275
204	4914	2277
205	4962	2264
206	5001	2247
207	5060	2238
208	5113	2226
209	5135	2200
210	5153	2173
211	5168	2145
212	5187	2118
213	5208	2093
214	5224	2065
215	5243	2039
216	5260	2012
217	5276	1984
218	5291	1957
219	5307	1929
220	5320	1901
221	5335	1874
222	5350	1847
223	5366	1820
224	5383	1794
225	5403	1769
226	5419	1742
227	5435	1716
228	5449	1689
229	5465	1663
230	5480	1637
231	5493	1610
232	5508	1584
233	5522	1557
234	5539	1532
235	5556	1506
