experiment_id,family,model,context,count,squad_em,squad_f1,mirage_f1,mirage_em_strict,mirage_em_loose,bertscore_f1,judge_correct_rate,judge_correct_or_partial_rate,judge_correct,judge_partially_correct,judge_incorrect,judge_unanswerable_or_bad_context,metrics_file
qwen2_5_1_5b_instruct_closed_book,generative_slm,Qwen2.5-1.5B-Instruct,closed_book,1000,0.016,0.06003444306139629,0.04939510817962907,0.015,0.026,0.44850174939632415,0.086,0.272,86,186,725,3,artifacts/metrics/qwen2_5_1_5b_instruct_closed_book_metrics.json
qwen2_5_1_5b_instruct_mirage_mixed,generative_slm,Qwen2.5-1.5B-Instruct,mirage_mixed,1000,0.545,0.6922904146326302,0.5760079835462625,0.525,0.687,0.7956435675472021,0.48,0.863,480,383,135,2,artifacts/metrics/qwen2_5_1_5b_instruct_mirage_mixed_metrics.json
qwen2_5_1_5b_instruct_oracle,generative_slm,Qwen2.5-1.5B-Instruct,oracle,1000,0.578,0.7353411794417196,0.6144417651014368,0.556,0.734,0.8194317966103554,0.522,0.891,522,369,108,1,artifacts/metrics/qwen2_5_1_5b_instruct_oracle_metrics.json
qwen2_5_1_5b_instruct_top1_dense,generative_slm,Qwen2.5-1.5B-Instruct,top1_dense,1000,0.333,0.4475553890868664,0.36917924068187186,0.32,0.423,0.656617222160101,0.343,0.615,343,272,372,13,artifacts/metrics/qwen2_5_1_5b_instruct_top1_dense_metrics.json
qwen2_5_1_5b_instruct_top1_mixture,generative_slm,Qwen2.5-1.5B-Instruct,top1_mixture,1000,0.345,0.45728327702301536,0.37646978266932185,0.328,0.429,0.6605581963807344,0.344,0.624,344,280,363,13,artifacts/metrics/qwen2_5_1_5b_instruct_top1_mixture_metrics.json
qwen2_5_1_5b_instruct_top5_dense,generative_slm,Qwen2.5-1.5B-Instruct,top5_dense,1000,0.447,0.5772904001387976,0.4835282591375625,0.43,0.571,0.7355875759869814,0.409,0.754,409,345,246,0,artifacts/metrics/qwen2_5_1_5b_instruct_top5_dense_metrics.json
qwen2_5_1_5b_instruct_top5_mixture,generative_slm,Qwen2.5-1.5B-Instruct,top5_mixture,1000,0.431,0.5580025549981436,0.4647841208248966,0.416,0.553,0.7239797661453485,0.393,0.748,393,355,251,1,artifacts/metrics/qwen2_5_1_5b_instruct_top5_mixture_metrics.json
roberta_oracle_distilbert_50,extractive_qa,distilbert-base-cased-distilled-squad,unknown,50,0.62,0.7630769230769229,,0.62,0.86,,,,,,,,artifacts/metrics/roberta_oracle_distilbert_50_metrics.json
roberta_oracle_distilbert_smoke5,extractive_qa,distilbert-base-cased-distilled-squad,unknown,5,0.8,0.8,,0.8,0.8,,,,,,,,artifacts/metrics/roberta_oracle_distilbert_smoke5_metrics.json
roberta_oracle_full,extractive_qa,deepset/roberta-base-squad2,oracle,1000,0.632,0.7519328014314028,0.6443599194643591,0.62,0.748,0.8471828279644251,0.479,0.854,479,375,146,0,artifacts/metrics/roberta_oracle_full_metrics.json
roberta_top1_dense_distilbert_50,extractive_qa,distilbert-base-cased-distilled-squad,unknown,50,0.42,0.48307692307692307,,0.42,0.54,,,,,,,,artifacts/metrics/roberta_top1_dense_distilbert_50_metrics.json
roberta_top1_dense_distilbert_smoke5,extractive_qa,distilbert-base-cased-distilled-squad,unknown,5,0.6,0.6,,0.6,0.6,,,,,,,,artifacts/metrics/roberta_top1_dense_distilbert_smoke5_metrics.json
roberta_top1_dense_full,extractive_qa,deepset/roberta-base-squad2,top1_dense,1000,0.372,0.46120287000191484,0.3893726811669244,0.364,0.441,0.6870531294196844,0.302,0.616,302,314,384,0,artifacts/metrics/roberta_top1_dense_full_metrics.json
roberta_top1_mixture_distilbert_50,extractive_qa,distilbert-base-cased-distilled-squad,unknown,50,0.46,0.5230769230769231,,0.46,0.58,,,,,,,,artifacts/metrics/roberta_top1_mixture_distilbert_50_metrics.json
roberta_top1_mixture_distilbert_smoke5,extractive_qa,distilbert-base-cased-distilled-squad,unknown,5,0.6,0.6,,0.6,0.6,,,,,,,,artifacts/metrics/roberta_top1_mixture_distilbert_smoke5_metrics.json
roberta_top1_mixture_full,extractive_qa,deepset/roberta-base-squad2,top1_mixture,1000,0.376,0.46873792578433904,0.3953569854538603,0.369,0.45,0.6920876868367195,0.299,0.623,299,324,377,0,artifacts/metrics/roberta_top1_mixture_full_metrics.json
t5gemma2_270m_squad_lora_closed_book,fine_tuned_slm,google/t5gemma-2-270m-270m + LoRA SQuAD,closed_book,1000,0.0,0.00075,0.0005674603174603175,0.0,0.001,0.012183135583996772,0.002,0.242,2,240,758,0,artifacts/metrics/t5gemma2_270m_squad_lora_closed_book_metrics.json
t5gemma2_270m_squad_lora_oracle,fine_tuned_slm,google/t5gemma-2-270m-270m + LoRA SQuAD,oracle,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.239,1,238,761,0,artifacts/metrics/t5gemma2_270m_squad_lora_oracle_metrics.json
t5gemma2_270m_squad_lora_top1_dense,fine_tuned_slm,google/t5gemma-2-270m-270m + LoRA SQuAD,top1_dense,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.239,1,238,761,0,artifacts/metrics/t5gemma2_270m_squad_lora_top1_dense_metrics.json
t5gemma2_270m_squad_lora_top1_mixture,fine_tuned_slm,google/t5gemma-2-270m-270m + LoRA SQuAD,top1_mixture,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.239,1,238,761,0,artifacts/metrics/t5gemma2_270m_squad_lora_top1_mixture_metrics.json
